#,项目,跟踪,父任务,状态,优先级,主题,作者,指派给,更新于,类别,目标版本,开始日期,计划完成日期,预期时间,预估工时统计,耗时,总体耗时,% 完成,创建于,结束日期,最近更新人,相关的问题,文件,私有
,app测试,Bug,,New,Normal,手机号码注册，无法接收验证码,凯静 杨,凯静 杨,,,,,,,,0,0,100,,,,,,否
,app测试,Bug,,New,Normal,点击登录页面的忘记密码没有反应,凯静 杨,凯静 杨,,,,,,,,0,0,100,,,,,,否
,app测试,Bug,,New,Normal,用QQ或微信无法登录，点击登录页面的QQ或者微信图标没有反应,凯静 杨,凯静 杨,,,,,,,,0,0,100,,,,,,否
,app测试,Bug,,New,Normal,通知开关没有作用,凯静 杨,凯静 杨,,,,,,,,0,0,100,,,,,,否
,app测试,Bug,,New,Normal,功能开关没有作用,凯静 杨,凯静 杨,,,,,,,,0,0,100,,,,,,否
,app测试,Bug,,New,Normal,打开消息里面的推荐，点击任意一条消息会闪退,凯静 杨,凯静 杨,,,,,,,,0,0,100,,,,,,否
,app测试,Bug,,New,Normal,社区只有一个模块可以进去,凯静 杨,凯静 杨,,,,,,,,0,0,100,,,,,,否
,app测试,Bug,,New,Normal,点击评论的图标没有反应,凯静 杨,凯静 杨,,,,,,,,0,0,100,,,,,,否
,app测试,Bug,,New,Normal,游迹测试没有推出按钮,凯静 杨,凯静 杨,,,,,,,,0,0,100,,,,,,否
,app测试,Bug,,New,Normal,当有其他用户点赞或收藏时，消息里的消息页面没有反应,凯静 杨,凯静 杨,,,,,,,,0,0,100,,,,,,否
